epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.83717,4.27508,4.54259,1.55334,0,0,0,0,4.14652,4.25841,1.39336,3.334e-05,3.334e-05,3.334e-05
2,11.4928,3.58352,4.18502,1.39587,0,0,0,0,3.72828,4.13934,1.26403,8.23185e-05,8.23185e-05,8.23185e-05
3,16.4615,3.49512,4.00092,1.24242,0.00134,0.00949,0.00071,0.00019,3.06654,3.99493,1.05161,0.000130059,0.000130059,0.000130059
4,21.3632,3.08759,3.75279,1.1401,0.00889,0.08424,0.0059,0.00169,3.01206,3.86295,1.00188,0.000176562,0.000176562,0.000176562
5,26.2145,3.03464,3.52343,1.11885,0.01401,0.13111,0.00957,0.00245,2.95657,3.77991,0.98159,0.000221828,0.000221828,0.000221828
6,30.9062,3.19753,3.29005,1.08632,0.01268,0.11939,0.0089,0.0026,2.82451,3.72174,0.96174,0.000265855,0.000265855,0.000265855
7,35.6308,2.73737,3.12807,1.0595,0.01304,0.11818,0.00858,0.00224,2.81051,3.64303,0.96872,0.000308645,0.000308645,0.000308645
8,40.2509,2.95962,3.02706,1.04771,0.01431,0.12889,0.00939,0.00234,2.93348,3.5889,0.98988,0.000350197,0.000350197,0.000350197
9,45.001,3.21995,3.00553,1.04297,0.01673,0.14626,0.01247,0.00306,2.85436,3.48669,0.99119,0.000390511,0.000390511,0.000390511
10,49.7063,3.13331,2.84105,1.02396,0.01944,0.16525,0.01597,0.0043,2.82539,3.43026,0.98878,0.000429588,0.000429588,0.000429588
11,54.4296,3.13972,2.75339,1.01145,0.02951,0.24505,0.02672,0.00867,2.80374,3.34576,0.98254,0.000467427,0.000467427,0.000467427
12,59.1329,2.92977,2.60544,1.00111,0.03351,0.28949,0.0321,0.01102,2.80784,3.32616,0.97607,0.000504028,0.000504028,0.000504028
13,63.8939,3.00662,2.52688,0.98446,0.03699,0.33394,0.04003,0.0142,2.7786,3.28065,0.96348,0.000539391,0.000539391,0.000539391
14,68.5896,2.7829,2.37052,0.98936,0.03801,0.34283,0.05676,0.02237,2.76795,3.20734,0.95634,0.000573517,0.000573517,0.000573517
15,73.4095,2.93929,2.32614,0.96301,0.04331,0.38303,0.14841,0.04677,2.86665,2.94176,0.94892,0.000606405,0.000606405,0.000606405
16,78.1897,2.77628,2.14747,0.95316,0.04154,0.37475,0.14618,0.03874,3.09909,2.78732,0.97186,0.000638055,0.000638055,0.000638055
17,83.0094,2.65059,1.9873,0.94903,0.64308,0.10882,0.22025,0.06679,2.88586,2.53504,0.95506,0.000668467,0.000668467,0.000668467
18,87.7845,2.75554,2.04045,0.93056,0.75463,0.12585,0.28425,0.09908,2.66168,2.47781,0.93155,0.000697642,0.000697642,0.000697642
19,92.5764,2.8878,1.99956,0.93145,0.78821,0.13849,0.30547,0.10699,2.64468,2.44726,0.93091,0.000725578,0.000725578,0.000725578
20,97.4062,3.05669,2.05476,0.92395,0.75156,0.14822,0.30401,0.10962,2.61364,2.40692,0.93163,0.000752278,0.000752278,0.000752278
21,102.091,2.78124,1.93209,0.92963,0.66438,0.181,0.31548,0.11695,2.61363,2.31497,0.93471,0.000777739,0.000777739,0.000777739
22,106.814,2.76783,1.93243,0.93072,0.62467,0.19192,0.33559,0.1205,2.60098,2.30145,0.92885,0.000801962,0.000801962,0.000801962
23,111.55,2.78683,1.93605,0.91901,0.56716,0.16727,0.32027,0.11829,2.59984,2.34389,0.92598,0.000824948,0.000824948,0.000824948
24,116.251,2.80243,1.87854,0.91926,0.59133,0.17414,0.33215,0.11763,2.64528,2.35573,0.93013,0.000846696,0.000846696,0.000846696
25,120.959,2.70102,1.81831,0.89749,0.5573,0.20713,0.33317,0.11861,2.65627,2.2658,0.92954,0.000867207,0.000867207,0.000867207
26,125.674,2.56455,1.74847,0.92146,0.57381,0.2301,0.34162,0.1254,2.59578,2.23517,0.92422,0.000886479,0.000886479,0.000886479
